ISEQ_ID,Date_ISEQ,Price_ISEQ,Open_ISEQ,High_ISEQ,Low_ISEQ,Vol_Mil_ISEQ,ChangePercent_ISEQ
72,"May 23, 2019",6152.51,6234.96,6234.96,6113.26,39.89,-1.37
73,"May 22, 2019",6237.79,6231.93,6260,6211,21.43,0.09
74,"May 21, 2019",6231.93,6222.95,6244.53,6211.95,36.46,0.14
75,"May 20, 2019",6223.38,6282.97,6282.97,6203.93,18.82,-0.91
76,"May 17, 2019",6280.53,6309.83,6309.83,6235.61,32.27,-0.46
77,"May 16, 2019",6309.78,6242.99,6313.16,6198.13,55.27,1.09
78,"May 15, 2019",6241.63,6231.93,6272.08,6187.74,13.48,0.18
79,"May 14, 2019",6230.72,6151.22,6234.16,6151.22,19.8,1.29
80,"May 13, 2019",6151.57,6248.33,6255.74,6151.57,16.86,-1.46
81,"May 10, 2019",6242.88,6251.37,6328.6,6237.12,23.37,-0.02
82,"May 09, 2019",6243.82,6365.65,6365.65,6224.3,44.71,-1.87
83,"May 08, 2019",6362.91,6390.47,6395.92,6316.91,44.56,-0.43
84,"May 07, 2019",6390.47,6467.04,6484.84,6373.61,34.6,-1.11
85,"May 06, 2019",6462.12,6494.3,6494.3,6389.94,37.36,-0.56
86,"May 03, 2019",6498.74,6501.94,6518.76,6471.36,34.15,-0.10
87,"May 02, 2019",6505.11,6455.04,6523.47,6450.93,71.65,0.77
88,"Apr 30, 2019",6455.24,6444.08,6475.06,6426.39,43.44,0.02
89,"Apr 29, 2019",6453.89,6401.61,6464.32,6401.61,22.8,0.85
90,"Apr 26, 2019",6399.74,6391.23,6423.28,6370.38,15.49,0.11
91,"Apr 25, 2019",6392.53,6448.57,6476.98,6372.94,18.65,-0.87
92,"Apr 24, 2019",6448.65,6488.08,6508.96,6448.41,21.27,-0.70
93,"Apr 23, 2019",6493.81,6540.14,6540.14,6463.44,25.96,-0.71
94,"Apr 18, 2019",6540.14,6487.41,6551.95,6458.64,44.32,0.80
95,"Apr 17, 2019",6488.07,6435.71,6491.23,6406.63,25.16,0.84
96,"Apr 16, 2019",6433.97,6391.35,6448.69,6365.24,49.37,0.61
97,"Apr 15, 2019",6395.18,6341.64,6395.18,6340.97,23.8,0.94
98,"Apr 12, 2019",6335.71,6280.36,6348.95,6263.88,24.08,0.88
99,"Apr 11, 2019",6280.7,6241.86,6307.33,6233.57,25.81,0.62
100,"Apr 10, 2019",6241.86,6246.98,6261.24,6196.37,67.19,-0.10
101,"Apr 09, 2019",6247.91,6299.47,6306.12,6237.77,17.24,-0.76
102,"Apr 08, 2019",6295.96,6386.77,6386.77,6295.76,12,-1.38
103,"Apr 05, 2019",6383.9,6313.14,6392.73,6310.27,20.65,1.09
104,"Apr 04, 2019",6314.96,6313.12,6320.98,6283.32,19.45,0.03
105,"Apr 03, 2019",6313.12,6228.96,6320.98,6228.96,23.81,1.78
106,"Apr 02, 2019",6202.71,6199.16,6214.84,6179.61,20.09,0.06
107,"Apr 01, 2019",6199.16,6138.45,6206.25,6138.45,19.6,0.99
108,"Mar 29, 2019",6138.66,6047.57,6149.5,6041.76,23.5,1.48
109,"Mar 28, 2019",6048.85,6054.56,6108.48,6047.9,14.59,-0.03
110,"Mar 27, 2019",6050.42,6037.99,6081.11,6016.6,21.98,0.21
111,"Mar 26, 2019",6037.99,6020.77,6044.13,5957.26,19.04,0.24
112,"Mar 25, 2019",6023.73,6041.32,6042.41,5979.14,19.78,-0.19
113,"Mar 22, 2019",6035.4,6125.68,6166.08,6021.62,20.35,-1.48
114,"Mar 21, 2019",6125.99,6203.94,6203.94,6113.55,22.51,-1.27
115,"Mar 20, 2019",6204.66,6239.53,6251.08,6182.4,20.75,-0.56
116,"Mar 19, 2019",6239.64,6253.25,6299.38,6228.69,19.06,-0.21
117,"Mar 18, 2019",6252.69,6252.79,6271.78,6222.78,15.15,0.01
118,"Mar 15, 2019",6252.36,6177.52,6258.25,6135.19,34.13,1.22
119,"Mar 14, 2019",6177.27,6173.04,6220,6121.78,21.38,0.08
120,"Mar 13, 2019",6172.48,6118.27,6181.48,6116.96,18.3,0.62
121,"Mar 12, 2019",6134.37,6123.74,6209.12,6123.74,26.95,0.25
122,"Mar 11, 2019",6118.96,6082.54,6118.96,6066.13,14.58,0.60
123,"Mar 08, 2019",6082.54,6103.28,6103.28,6048.74,25.93,-0.34
124,"Mar 07, 2019",6103.23,6206.38,6221.27,6095.74,26.08,-1.66
125,"Mar 06, 2019",6206.02,6241.67,6258.65,6206.02,34.83,-0.57
126,"Mar 05, 2019",6241.67,6220.38,6258.97,6198.21,35.62,0.35
127,"Mar 04, 2019",6220.19,6195.83,6245.52,6195.83,17.92,0.40
128,"Mar 01, 2019",6195.62,6115.71,6200.09,6115.71,38.07,1.31
129,"Feb 28, 2019",6115.6,6068.21,6117.3,6030.7,41.16,0.75
130,"Feb 27, 2019",6070.18,6056.08,6070.18,6015.52,41.83,0.11
131,"Feb 26, 2019",6063.23,6019.71,6072.45,5981.19,28.81,0.70
132,"Feb 25, 2019",6021.15,6034.42,6035.22,5988.94,13.58,-0.22
133,"Feb 22, 2019",6034.42,6042.69,6077.55,6024.14,15.69,-0.19
134,"Feb 21, 2019",6046.17,6052.52,6069.04,6030.28,30.12,-0.20
135,"Feb 20, 2019",6058.4,5979.09,6070.28,5976.97,18.61,1.31
136,"Feb 19, 2019",5980.25,5975.35,6045.37,5975.35,29.83,0.06
137,"Feb 18, 2019",5976.91,5969.27,5993.25,5959.7,17.84,0.13
138,"Feb 15, 2019",5969.27,5952.81,5979.3,5928.37,18.53,0.33
139,"Feb 14, 2019",5949.75,5995.39,6043.1,5943.2,18.99,-0.76
140,"Feb 13, 2019",5995.03,5919.75,6015.08,5918.06,20.59,1.27
141,"Feb 12, 2019",5919.75,5909.39,5947.24,5906.29,18.84,0.27
142,"Feb 11, 2019",5903.85,5833.84,5912.26,5833.84,12.18,1.22
143,"Feb 08, 2019",5832.59,5842.67,5874.65,5826.23,13.8,-0.17
144,"Feb 07, 2019",5842.44,5969.85,5969.85,5842.44,21.99,-2.14
145,"Feb 06, 2019",5970.05,5935.39,6019.82,5930.85,19.56,0.58
146,"Feb 05, 2019",5935.39,5831.31,5935.39,5825.85,41.49,1.79
147,"Feb 04, 2019",5831.05,5838.1,5844.31,5809.85,16.33,-0.12
148,"Feb 01, 2019",5838.1,5767.68,5848.49,5767.68,34.88,1.22
149,"Jan 31, 2019",5767.68,5859.69,5882.14,5751.37,22.74,-1.57
150,"Jan 30, 2019",5859.79,5848.88,5859.79,5821.8,22.35,0.19
151,"Jan 29, 2019",5848.88,5843.79,5879.31,5819.41,19.86,0.09
152,"Jan 28, 2019",5843.79,5849.56,5861.31,5810.53,15.77,-0.10
153,"Jan 25, 2019",5849.56,5775,5871.95,5775,26.02,1.29
154,"Jan 24, 2019",5775,5828.38,5862.11,5768.61,36.47,-0.92
155,"Jan 23, 2019",5828.38,5817.12,5905.39,5801.53,30.59,0.19
156,"Jan 22, 2019",5817.12,5792.13,5817.12,5764.54,19.15,0.43
157,"Jan 21, 2019",5792.13,5799.61,5819.25,5773.28,12.84,-0.13
158,"Jan 18, 2019",5799.61,5705.3,5801.86,5695.88,38.42,1.65
159,"Jan 17, 2019",5705.3,5699.04,5714.43,5661.66,58.55,0.11
160,"Jan 16, 2019",5699.04,5640.4,5705.16,5640.4,25.83,1.04
161,"Jan 15, 2019",5640.4,5670.85,5707.55,5611.72,21.38,-0.54
162,"Jan 14, 2019",5670.85,5699.45,5699.45,5654.63,18.48,-0.50
163,"Jan 11, 2019",5699.45,5743.29,5745.29,5690.84,22.54,-0.76
164,"Jan 10, 2019",5743.29,5734.83,5743.29,5687.03,18.23,0.15
165,"Jan 09, 2019",5734.83,5680.57,5751.1,5680.57,26.81,0.96
166,"Jan 08, 2019",5680.57,5651.16,5717.47,5632.56,19.31,0.52
167,"Jan 07, 2019",5651.16,5656.45,5692.16,5607.97,20.39,-0.09
168,"Jan 04, 2019",5656.45,5481.16,5670.92,5481.16,18.08,3.20
169,"Jan 03, 2019",5481.16,5489.63,5523.99,5456.22,17.67,-0.17
170,"Jan 02, 2019",5490.37,5479.81,5510.81,5390.58,15.2,0.19
171,"Dec 31, 2018",5479.81,5459.2,5479.81,5444.61,6.63,0.38
172,"Dec 28, 2018",5459.2,5325.99,5464.82,5325.99,16.87,2.50
173,"Dec 27, 2018",5325.99,5398.23,5449.64,5311.73,10.37,-1.34
174,"Dec 24, 2018",5398.23,5391.42,5422.33,5387.52,2.44,0.13
175,"Dec 21, 2018",5391.42,5376.61,5412.6,5342.6,30.6,0.28
176,"Dec 20, 2018",5376.61,5443.79,5443.79,5344.58,44.12,-1.23
177,"Dec 19, 2018",5443.79,5422.76,5457.05,5417.07,27.2,0.39
178,"Dec 18, 2018",5422.76,5470.72,5497.71,5422.76,21.29,-0.88
179,"Dec 17, 2018",5470.72,5519.26,5519.26,5451.43,23.37,-0.88
180,"Dec 14, 2018",5519.26,5536.33,5536.33,5425.82,14.83,-0.31
181,"Dec 13, 2018",5536.33,5523.38,5590.96,5515.41,39.12,0.23
182,"Dec 12, 2018",5523.38,5491.94,5547.61,5454,29.29,0.57
183,"Dec 11, 2018",5491.94,5409.17,5510.65,5409.17,25.13,1.53
